B01, Trade, 85652.017, 130, S20, B01, 1
B01, Trade, 85659.967, 135, B01, S12, 1
B01, Trade, 85666.967, 134, B01, S09, 1
B01, Trade, 85674.767, 113, B01, S24, 1
B01, Trade, 85676.883, 121, B01, S16, 1
B01, Trade, 85684.333, 104, B01, S23, 1
B01, Trade, 85685.617, 134, B01, S22, 1
B01, Trade, 85691.300, 85, S01, B01, 1
B01, Trade, 85707.417, 96, B01, S29, 1
B01, Trade, 85711.383, 119, B01, S00, 1
B01, Trade, 85721.717, 104, S05, B01, 1
B01, Trade, 85730.817, 93, S28, B01, 1
B01, Trade, 85746.567, 111, S01, B01, 1
B01, Trade, 85750.450, 128, B01, S16, 1
B01, Trade, 85753.150, 113, B01, S17, 1
B01, Trade, 85764.400, 124, S01, B01, 1
B01, Trade, 85773.633, 93, B01, S26, 1
B01, Trade, 85776.117, 124, S27, B01, 1
B01, Trade, 85791.167, 127, B01, S00, 1
B01, Trade, 85801.317, 109, B01, S08, 1
B01, Trade, 85815.183, 127, S18, B01, 1
B01, Trade, 85822.883, 133, S18, B01, 1
B01, Trade, 85831.950, 129, B01, S12, 1
B01, Trade, 85865.000, 90, B01, S11, 1
B01, Trade, 85875.867, 101, B01, S11, 1
B01, Trade, 85885.617, 102, S02, B01, 1
B01, Trade, 85892.233, 119, B01, S16, 1
B01, Trade, 85904.733, 123, B01, S10, 1
B01, Trade, 85926.633, 131, B01, S00, 1
B01, Trade, 85941.083, 90, S04, B01, 1
B01, Trade, 85944.033, 124, B01, S09, 1
B01, Trade, 85948.750, 102, S04, B01, 1
B01, Trade, 85959.300, 82, B01, S09, 1
B01, Trade, 85966.067, 105, B01, S17, 1
B01, Trade, 85970.533, 101, B01, S13, 1
B01, Trade, 85979.667, 106, S19, B01, 1
B01, Trade, 85990.267, 126, S20, B01, 1
B01, Trade, 85991.200, 107, B01, S27, 1
B01, Trade, 85999.750, 118, S01, B01, 1
B01, Trade, 86005.183, 84, S09, B01, 1
B01, Trade, 86009.733, 96, B01, S02, 1
B01, Trade, 86015.250, 96, S04, B01, 1
B01, Trade, 86027.500, 105, S02, B01, 1
