B01, Trade, 86000.867, 136, B01, S02, 1
B01, Trade, 86010.000, 140, B01, S14, 1
B01, Trade, 86012.283, 127, B01, S23, 1
B01, Trade, 86018.233, 122, B01, S23, 1
B01, Trade, 86022.200, 116, B01, S07, 1
B01, Trade, 86025.033, 91, B01, S10, 1
B01, Trade, 86034.583, 120, B01, S16, 1
B01, Trade, 86035.383, 109, S26, B01, 1
B01, Trade, 86044.000, 140, S19, B01, 1
B01, Trade, 86050.017, 133, B01, S28, 1
B01, Trade, 86054.583, 127, B01, S14, 1
B01, Trade, 86059.583, 111, B01, S09, 1
B01, Trade, 86064.083, 132, B01, S28, 1
B01, Trade, 86071.567, 140, B01, S03, 1
B01, Trade, 86074.550, 108, B01, S22, 1
B01, Trade, 86082.717, 135, B01, S27, 1
B01, Trade, 86091.750, 122, B01, S10, 1
B01, Trade, 86095.467, 121, B01, S22, 1
B01, Trade, 86101.900, 115, B01, S01, 1
B01, Trade, 86105.850, 115, B01, S14, 1
B01, Trade, 86111.983, 140, B01, S24, 1
B01, Trade, 86120.567, 129, B01, S18, 1
B01, Trade, 86125.683, 121, B01, S09, 1
B01, Trade, 86127.917, 127, B01, S24, 1
B01, Trade, 86133.833, 137, B01, S06, 1
B01, Trade, 86139.133, 124, B01, S24, 1
B01, Trade, 86142.950, 117, B01, S12, 1
B01, Trade, 86150.050, 131, B01, S28, 1
B01, Trade, 86152.317, 124, B01, S02, 1
B01, Trade, 86157.983, 122, B01, S15, 1
B01, Trade, 86167.017, 130, B01, S10, 1
B01, Trade, 86175.600, 113, B01, S28, 1
B01, Trade, 86181.933, 134, B01, S29, 1
B01, Trade, 86190.433, 126, B01, S01, 1
B01, Trade, 86194.267, 118, B01, S09, 1
B01, Trade, 86205.417, 122, B01, S11, 1
B01, Trade, 86209.583, 140, B01, S01, 1
B01, Trade, 86213.883, 116, B01, S12, 1
B01, Trade, 86223.017, 125, B01, S25, 1
B01, Trade, 86225.650, 122, B01, S09, 1
