Trd, 082924.600, 393
Trd, 082927.650, 393
Trd, 082982.050, 307
Trd, 082982.300, 292
Trd, 082982.350, 262
Trd, 082982.650, 239
Trd, 082982.850, 234
Trd, 082983.600, 207
Trd, 082989.050, 202
Trd, 083042.400, 356
Trd, 083042.650, 350
Trd, 083043.100, 377
Trd, 083043.500, 349
Trd, 083044.650, 397
Trd, 083045.700, 401
Trd, 083045.850, 396
Trd, 083048.550, 397
Trd, 083049.300, 400
Trd, 083092.850, 232
Trd, 083093.050, 223
Trd, 083093.150, 214
Trd, 083093.550, 225
Trd, 083093.600, 222
Trd, 083095.150, 213
Trd, 083098.650, 219
Trd, 083182.950, 265
Trd, 083183.100, 260
Trd, 083183.350, 224
Trd, 083183.550, 178
Trd, 083185.100, 183
Trd, 083185.150, 169
Trd, 083223.250, 433
Trd, 083223.350, 423
Trd, 083223.550, 449
Trd, 083223.650, 441
Trd, 083223.950, 427
Trd, 083224.450, 435
Trd, 083225.050, 446
Trd, 083225.450, 446
Trd, 083227.150, 444
Trd, 083263.450, 167
Trd, 083263.500, 167
Trd, 083263.650, 243
Trd, 083265.200, 247
Trd, 083266.400, 218
Trd, 083266.950, 192
Trd, 083303.800, 446
Trd, 083303.950, 438
Trd, 083304.000, 431
Trd, 083304.400, 428
Trd, 083305.000, 436
Trd, 083306.350, 434
Trd, 083307.000, 425
Trd, 083308.000, 423
Trd, 083309.350, 425
Trd, 083373.950, 494
Trd, 083374.250, 485
Trd, 083374.450, 436
Trd, 083375.650, 463
Trd, 083377.350, 459
Trd, 083404.000, 184
Trd, 083404.100, 190
Trd, 083404.350, 234
Trd, 083404.900, 274
Trd, 083406.350, 254
Trd, 083407.800, 260
Trd, 083408.600, 260
Trd, 083409.300, 257
Trd, 083554.800, 173
Trd, 083554.950, 169
Trd, 083555.400, 168
Trd, 083555.900, 173
Trd, 083556.050, 160
Trd, 083556.350, 173
Trd, 083556.750, 169
Trd, 083563.500, 180
Trd, 083635.200, 252
Trd, 083635.300, 225
Trd, 083635.700, 152
Trd, 083635.750, 140
Trd, 083635.900, 149
Trd, 083636.550, 112
Trd, 083636.700, 99
Trd, 083643.200, 76
Trd, 083685.400, 247
Trd, 083685.500, 324
Trd, 083685.700, 265
Trd, 083685.800, 279
Trd, 083685.900, 252
Trd, 083687.800, 336
Trd, 083688.550, 273
Trd, 083694.500, 274
Trd, 083735.900, 445
Trd, 083736.200, 452
Trd, 083736.250, 440
Trd, 083736.300, 434
Trd, 083736.450, 414
Trd, 083737.300, 376
Trd, 083737.650, 377
Trd, 083739.250, 378
Trd, 083739.700, 374
Trd, 083826.150, 272
Trd, 083826.400, 277
Trd, 083826.850, 293
Trd, 083826.900, 277
Trd, 083827.050, 260
Trd, 083827.550, 325
Trd, 083827.700, 261
Trd, 083829.600, 268
Trd, 083829.800, 282
Trd, 084107.550, 109
Trd, 084107.650, 198
Trd, 084107.950, 193
Trd, 084108.450, 122
Trd, 084108.950, 103
