t=,43200, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,1.693740, id=,S01, PRDE,actvstrat=,-0.806615, actvprof=,1.897923, id=,S02, PRDE,actvstrat=,0.217971, actvprof=,2.001958, id=,S03, PRDE,actvstrat=,0.885720, actvprof=,1.662071, id=,S04, PRDE,actvstrat=,0.413370, actvprof=,1.382745, id=,S05, PRDE,actvstrat=,0.710015, actvprof=,1.095084, id=,S06, PRDE,actvstrat=,0.606849, actvprof=,0.790894, id=,S07, PRDE,actvstrat=,0.386089, actvprof=,0.413504, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.292939, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.171402, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S02, best_S_prof=,2.001958, best_S_strat=,0.217971, 
t=,46800, id=,S00, PRDE,actvstrat=,-0.424923, actvprof=,2.113378, id=,S01, PRDE,actvstrat=,-0.362319, actvprof=,1.699426, id=,S02, PRDE,actvstrat=,0.933377, actvprof=,1.303532, id=,S03, PRDE,actvstrat=,0.623356, actvprof=,1.280473, id=,S04, PRDE,actvstrat=,0.315422, actvprof=,1.071275, id=,S05, PRDE,actvstrat=,0.710015, actvprof=,0.682326, id=,S06, PRDE,actvstrat=,0.551446, actvprof=,0.516746, id=,S07, PRDE,actvstrat=,0.884440, actvprof=,0.356721, id=,S08, PRDE,actvstrat=,-0.855977, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.141410, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,2.113378, best_S_strat=,-0.424923, 
t=,50400, id=,S00, PRDE,actvstrat=,-0.424923, actvprof=,2.036961, id=,S01, PRDE,actvstrat=,-0.362319, actvprof=,1.709158, id=,S02, PRDE,actvstrat=,0.933377, actvprof=,1.342741, id=,S03, PRDE,actvstrat=,0.623356, actvprof=,1.325657, id=,S04, PRDE,actvstrat=,0.315422, actvprof=,0.986742, id=,S05, PRDE,actvstrat=,0.710015, actvprof=,0.717416, id=,S06, PRDE,actvstrat=,0.551446, actvprof=,0.500455, id=,S07, PRDE,actvstrat=,0.884440, actvprof=,0.379473, id=,S08, PRDE,actvstrat=,-0.855977, actvprof=,0.007362, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.106814, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,2.036961, best_S_strat=,-0.424923, 
t=,54000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,1.062925, id=,S01, PRDE,actvstrat=,-0.451178, actvprof=,1.887484, id=,S02, PRDE,actvstrat=,0.116240, actvprof=,1.755244, id=,S03, PRDE,actvstrat=,0.675829, actvprof=,1.503264, id=,S04, PRDE,actvstrat=,-0.262815, actvprof=,1.206556, id=,S05, PRDE,actvstrat=,0.710015, actvprof=,0.952910, id=,S06, PRDE,actvstrat=,0.685488, actvprof=,0.665092, id=,S07, PRDE,actvstrat=,-0.012592, actvprof=,0.377552, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.350882, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.189749, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S01, best_S_prof=,1.887484, best_S_strat=,-0.451178, 
t=,57600, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,1.337324, id=,S01, PRDE,actvstrat=,-0.451178, actvprof=,1.989319, id=,S02, PRDE,actvstrat=,0.116240, actvprof=,1.844446, id=,S03, PRDE,actvstrat=,0.675829, actvprof=,1.551091, id=,S04, PRDE,actvstrat=,-0.262815, actvprof=,1.135920, id=,S05, PRDE,actvstrat=,0.710015, actvprof=,0.980908, id=,S06, PRDE,actvstrat=,0.685488, actvprof=,0.715471, id=,S07, PRDE,actvstrat=,-0.012592, actvprof=,0.364611, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.331414, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.179180, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S01, best_S_prof=,1.989319, best_S_strat=,-0.451178, 
t=,61200, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.910695, id=,S01, PRDE,actvstrat=,-0.806615, actvprof=,1.649419, id=,S02, PRDE,actvstrat=,0.465283, actvprof=,1.730820, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.517732, id=,S04, PRDE,actvstrat=,-0.030308, actvprof=,1.200183, id=,S05, PRDE,actvstrat=,0.330162, actvprof=,0.912084, id=,S06, PRDE,actvstrat=,0.606849, actvprof=,0.810124, id=,S07, PRDE,actvstrat=,0.386089, actvprof=,0.403673, id=,S08, PRDE,actvstrat=,0.934930, actvprof=,0.419509, id=,S09, PRDE,actvstrat=,0.764700, actvprof=,0.253372, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S02, best_S_prof=,1.730820, best_S_strat=,0.465283, 
t=,64800, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,1.204814, id=,S01, PRDE,actvstrat=,-0.806615, actvprof=,1.735827, id=,S02, PRDE,actvstrat=,0.465283, actvprof=,1.846530, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.606234, id=,S04, PRDE,actvstrat=,-0.030308, actvprof=,1.233428, id=,S05, PRDE,actvstrat=,0.330162, actvprof=,1.001049, id=,S06, PRDE,actvstrat=,0.606849, actvprof=,0.822285, id=,S07, PRDE,actvstrat=,0.386089, actvprof=,0.421282, id=,S08, PRDE,actvstrat=,0.934930, actvprof=,0.388502, id=,S09, PRDE,actvstrat=,0.764700, actvprof=,0.215433, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S02, best_S_prof=,1.846530, best_S_strat=,0.465283, 
t=,68400, id=,S00, PRDE,actvstrat=,0.204608, actvprof=,2.659851, id=,S01, PRDE,actvstrat=,-0.710827, actvprof=,2.320077, id=,S02, PRDE,actvstrat=,0.511062, actvprof=,2.035311, id=,S03, PRDE,actvstrat=,0.434776, actvprof=,1.794996, id=,S04, PRDE,actvstrat=,0.697324, actvprof=,1.530512, id=,S05, PRDE,actvstrat=,-0.883452, actvprof=,0.394783, id=,S06, PRDE,actvstrat=,0.697649, actvprof=,0.880134, id=,S07, PRDE,actvstrat=,0.299703, actvprof=,0.563697, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.355610, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.036394, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,2.659851, best_S_strat=,0.204608, 
t=,72000, id=,S00, PRDE,actvstrat=,0.204608, actvprof=,2.366847, id=,S01, PRDE,actvstrat=,-0.710827, actvprof=,1.930842, id=,S02, PRDE,actvstrat=,0.511062, actvprof=,1.860281, id=,S03, PRDE,actvstrat=,0.434776, actvprof=,1.612901, id=,S04, PRDE,actvstrat=,0.697324, actvprof=,1.340380, id=,S05, PRDE,actvstrat=,-0.883452, actvprof=,0.299190, id=,S06, PRDE,actvstrat=,0.697649, actvprof=,0.768253, id=,S07, PRDE,actvstrat=,0.299703, actvprof=,0.518512, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.325997, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.035558, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,2.366847, best_S_strat=,0.204608, 
t=,75600, id=,S00, PRDE,actvstrat=,0.233293, actvprof=,1.992554, id=,S01, PRDE,actvstrat=,-0.710827, actvprof=,1.477746, id=,S02, PRDE,actvstrat=,0.592447, actvprof=,1.561927, id=,S03, PRDE,actvstrat=,0.675829, actvprof=,1.329666, id=,S04, PRDE,actvstrat=,0.413370, actvprof=,0.993221, id=,S05, PRDE,actvstrat=,0.118008, actvprof=,0.747069, id=,S06, PRDE,actvstrat=,0.653769, actvprof=,0.676502, id=,S07, PRDE,actvstrat=,-0.012592, actvprof=,0.321998, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.251986, id=,S09, PRDE,actvstrat=,0.764700, actvprof=,0.162249, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,1.992554, best_S_strat=,0.233293, 
t=,79200, id=,S00, PRDE,actvstrat=,0.233293, actvprof=,1.887796, id=,S01, PRDE,actvstrat=,-0.710827, actvprof=,1.320666, id=,S02, PRDE,actvstrat=,0.592447, actvprof=,1.483735, id=,S03, PRDE,actvstrat=,0.675829, actvprof=,1.236214, id=,S04, PRDE,actvstrat=,0.413370, actvprof=,0.960219, id=,S05, PRDE,actvstrat=,0.118008, actvprof=,0.688530, id=,S06, PRDE,actvstrat=,0.653769, actvprof=,0.614218, id=,S07, PRDE,actvstrat=,-0.012592, actvprof=,0.280996, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.200294, id=,S09, PRDE,actvstrat=,0.764700, actvprof=,0.155846, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S00, best_S_prof=,1.887796, best_S_strat=,0.233293, 
t=,82800, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,1.207979, id=,S01, PRDE,actvstrat=,-0.352374, actvprof=,1.826138, id=,S02, PRDE,actvstrat=,0.592447, actvprof=,1.828638, id=,S03, PRDE,actvstrat=,0.675829, actvprof=,1.486081, id=,S04, PRDE,actvstrat=,0.981278, actvprof=,1.188809, id=,S05, PRDE,actvstrat=,-0.105964, actvprof=,0.815414, id=,S06, PRDE,actvstrat=,0.705788, actvprof=,0.713174, id=,S07, PRDE,actvstrat=,-0.081701, actvprof=,0.258654, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.240873, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.137523, best_B_id=,None, best_B_prof=,0.000000, best_B_strat=,0.000000, best_S_id=,S02, best_S_prof=,1.828638, best_S_strat=,0.592447, 
