B01, Trade, 85266.517, 112, B01, S14, 1
B01, Trade, 85278.617, 108, B01, S18, 1
B01, Trade, 85304.217, 118, B01, S15, 1
B01, Trade, 85314.300, 130, B01, S26, 1
B01, Trade, 85327.617, 96, B01, S20, 1
B01, Trade, 85347.783, 90, B01, S02, 1
B01, Trade, 85366.250, 95, B01, S16, 1
B01, Trade, 85380.650, 127, B01, S18, 1
B01, Trade, 85383.533, 128, B01, S00, 1
B01, Trade, 85395.667, 128, B01, S22, 1
B01, Trade, 85406.550, 108, B01, S13, 1
B01, Trade, 85471.217, 130, B01, S00, 1
B01, Trade, 85485.050, 109, B01, S18, 1
B01, Trade, 85525.617, 134, S11, B01, 1
B01, Trade, 85543.667, 125, B01, S18, 1
B01, Trade, 85559.867, 102, B01, S17, 1
B01, Trade, 85568.900, 133, B01, S27, 1
B01, Trade, 85573.250, 85, S15, B01, 1
B01, Trade, 85588.967, 103, B01, S00, 1
B01, Trade, 85602.083, 125, B01, S02, 1
B01, Trade, 85606.083, 99, B01, S13, 1
B01, Trade, 85627.267, 121, B01, S24, 1
B01, Trade, 85639.633, 113, B01, S21, 1
B01, Trade, 85668.150, 112, B01, S24, 1
B01, Trade, 85671.933, 99, B01, S16, 1
B01, Trade, 85703.333, 115, B01, S00, 1
B01, Trade, 85708.583, 119, B01, S14, 1
B01, Trade, 85714.183, 118, B01, S11, 1
B01, Trade, 85732.517, 120, B01, S10, 1
B01, Trade, 85741.917, 121, B01, S25, 1
B01, Trade, 85753.117, 105, B01, S19, 1
B01, Trade, 85765.167, 114, B01, S00, 1
B01, Trade, 85769.150, 99, B01, S24, 1
B01, Trade, 85783.383, 112, B01, S10, 1
B01, Trade, 85807.417, 119, B01, S14, 1
B01, Trade, 85819.617, 124, B01, S22, 1
B01, Trade, 85825.383, 130, B01, S18, 1
B01, Trade, 85834.233, 126, B01, S14, 1
B01, Trade, 85837.567, 129, B01, S20, 1
B01, Trade, 85844.883, 134, B01, S17, 1
B01, Trade, 85899.017, 106, S28, B01, 1
B01, Trade, 85902.217, 107, S16, B01, 1
B01, Trade, 85925.950, 113, B01, S17, 1
B01, Trade, 85948.733, 103, B01, S12, 1
B01, Trade, 85971.317, 127, B01, S00, 1
B01, Trade, 85975.633, 84, S06, B01, 1
B01, Trade, 85992.683, 121, B01, S13, 1
B01, Trade, 86009.833, 121, S15, B01, 1
B01, Trade, 86013.967, 106, B01, S02, 1
B01, Trade, 86020.133, 117, B01, S25, 1
B01, Trade, 86027.667, 129, B01, S18, 1
B01, Trade, 86037.750, 99, S16, B01, 1
B01, Trade, 86044.533, 127, S20, B01, 1
B01, Trade, 86064.183, 134, B01, S02, 1
B01, Trade, 86078.683, 127, B01, S18, 1
B01, Trade, 86093.283, 62, B01, S17, 1
B01, Trade, 86107.217, 118, B01, S24, 1
B01, Trade, 86113.233, 86, B01, S22, 1
B01, Trade, 86158.750, 127, B01, S13, 1
B01, Trade, 86192.483, 87, B01, S17, 1
B01, Trade, 86198.117, 117, B01, S17, 1
B01, Trade, 86203.333, 110, B01, S01, 1
B01, Trade, 86207.617, 116, B01, S24, 1
B01, Trade, 86213.867, 109, B01, S00, 1
B01, Trade, 86271.933, 132, B01, S21, 1
B01, Trade, 86284.317, 118, S25, B01, 1
B01, Trade, 86289.733, 122, B01, S18, 1
B01, Trade, 86298.850, 108, B01, S16, 1
B01, Trade, 86342.050, 131, B01, S14, 1
B01, Trade, 86344.500, 106, S01, B01, 1
B01, Trade, 86351.200, 113, B01, S22, 1
B01, Trade, 86357.733, 105, B01, S01, 1
B01, Trade, 86383.683, 108, B01, S08, 1
B02, 100
B02, Trade, 85611.500, 133, B02, S23, 1
B02, Trade, 85614.883, 86, B02, S21, 1
B02, Trade, 85622.150, 140, B02, S07, 1
B02, Trade, 85639.083, 132, B02, S13, 1
B02, Trade, 85651.433, 130, B02, S02, 1
B02, Trade, 85659.517, 132, B02, S01, 1
B02, Trade, 85677.533, 129, B02, S24, 1
B02, Trade, 85682.450, 114, B02, S17, 1
B02, Trade, 85691.383, 123, B02, S11, 1
B02, Trade, 85694.283, 131, B02, S13, 1
B02, Trade, 85709.283, 90, S29, B02, 1
B02, Trade, 85720.467, 131, B02, S25, 1
B02, Trade, 85733.467, 128, B02, S11, 1
B02, Trade, 85737.783, 113, B02, S12, 1
B02, Trade, 85745.000, 133, B02, S19, 1
B02, Trade, 85751.983, 127, B02, S17, 1
B02, Trade, 85760.850, 133, B02, S13, 1
B02, Trade, 85767.200, 126, B02, S24, 1
B02, Trade, 85775.683, 121, B02, S19, 1
B02, Trade, 85786.233, 119, B02, S05, 1
B02, Trade, 85786.867, 130, B02, S01, 1
B02, Trade, 85797.433, 117, B02, S08, 1
B02, Trade, 85802.433, 124, B02, S17, 1
B02, Trade, 85808.200, 134, B02, S19, 1
B02, Trade, 85813.717, 123, B02, S18, 1
B02, Trade, 85821.300, 135, B02, S23, 1
B02, Trade, 85833.967, 122, B02, S08, 1
B02, Trade, 85840.550, 102, B02, S19, 1
B02, Trade, 85850.767, 140, B02, S16, 1
B02, Trade, 85867.750, 122, B02, S25, 1
B02, Trade, 85873.267, 120, B02, S02, 1
B02, Trade, 85875.150, 134, B02, S13, 1
B02, Trade, 85886.217, 134, B02, S25, 1
B02, Trade, 85897.933, 89, B02, S17, 1
B02, Trade, 85902.933, 80, B02, S06, 1
B02, Trade, 85906.517, 133, B02, S03, 1
B02, Trade, 85926.100, 113, B02, S01, 1
B02, Trade, 85934.000, 135, B02, S02, 1
B02, Trade, 85949.317, 85, B02, S18, 1
B02, Trade, 85953.250, 118, B02, S20, 1
B02, Trade, 85963.000, 133, B02, S02, 1
B02, Trade, 85967.133, 114, B02, S02, 1
B02, Trade, 85975.500, 106, S04, B02, 1
B02, Trade, 85988.633, 138, B02, S10, 1
B02, Trade, 86008.267, 101, B02, S21, 1
B02, Trade, 86012.000, 120, B02, S15, 1
B02, Trade, 86021.483, 108, B02, S19, 1
B02, Trade, 86032.050, 136, S15, B02, 1
B02, Trade, 86051.683, 134, B02, S14, 1
B02, Trade, 86055.517, 140, B02, S05, 1
B02, Trade, 86060.550, 139, B02, S12, 1
B02, Trade, 86068.400, 127, B02, S05, 1
B02, Trade, 86070.433, 104, B02, S26, 1
B02, Trade, 86084.183, 132, S14, B02, 1
B02, Trade, 86088.933, 99, B02, S26, 1
B02, Trade, 86093.633, 69, S02, B02, 1
B02, Trade, 86103.067, 119, S13, B02, 1
B02, Trade, 86112.500, 133, S25, B02, 1
B02, Trade, 86118.667, 106, B02, S04, 1
B02, Trade, 86123.800, 131, B02, S22, 1
B02, Trade, 86134.517, 127, B02, S12, 1
B02, Trade, 86138.000, 112, B02, S06, 1
B02, Trade, 86144.033, 109, S20, B02, 1
B02, Trade, 86150.000, 115, B02, S25, 1
B02, Trade, 86155.883, 133, B02, S04, 1
B02, Trade, 86159.817, 137, S28, B02, 1
B02, Trade, 86165.183, 107, B02, S26, 1
B02, Trade, 86173.717, 116, B02, S19, 1
B02, Trade, 86182.667, 101, B02, S26, 1
B02, Trade, 86190.767, 108, B02, S08, 1
B02, Trade, 86192.450, 90, S28, B02, 1
B02, Trade, 86198.567, 116, B02, S02, 1
B02, Trade, 86205.733, 116, B02, S07, 1
B02, Trade, 86207.400, 131, S20, B02, 1
B02, Trade, 86212.917, 133, S29, B02, 1
B02, Trade, 86221.033, 114, B02, S11, 1
B02, Trade, 86230.550, 110, B02, S01, 1
B02, Trade, 86231.433, 105, B02, S17, 1
B02, Trade, 86242.767, 118, B02, S01, 1
B02, Trade, 86246.250, 126, B02, S23, 1
B02, Trade, 86250.867, 123, S12, B02, 1
B02, Trade, 86252.100, 137, B02, S18, 1
B02, Trade, 86260.700, 123, B02, S08, 1
B02, Trade, 86267.800, 124, B02, S11, 1
B02, Trade, 86274.017, 138, S29, B02, 1
B02, Trade, 86288.450, 124, B02, S21, 1
B02, Trade, 86303.967, 108, S13, B02, 1
B02, Trade, 86312.867, 122, B02, S07, 1
B02, Trade, 86321.600, 139, B02, S22, 1
B02, Trade, 86323.183, 134, S29, B02, 1
B02, Trade, 86330.267, 125, B02, S15, 1
B02, Trade, 86334.900, 111, B02, S12, 1
B02, Trade, 86347.567, 111, B02, S02, 1
B02, Trade, 86357.767, 104, B02, S13, 1
B02, Trade, 86358.950, 137, B02, S22, 1
B02, Trade, 86368.667, 125, B02, S25, 1
B02, Trade, 86378.583, 140, B02, S04, 1
B02, Trade, 86386.150, 133, B02, S02, 1
B02, Trade, 86396.217, 137, B02, S20, 1
B02, Trade, 86398.150, 97, B02, S02, 1
B03, 100
B03, Trade, 85871.183, 140, B03, S07, 1
B03, Trade, 85876.017, 136, B03, S02, 1
B03, Trade, 85880.450, 139, B03, S03, 1
B03, Trade, 85886.683, 139, S29, B03, 1
B03, Trade, 85890.567, 115, S10, B03, 1
B03, Trade, 85896.817, 133, B03, S02, 1
B03, Trade, 85903.400, 138, B03, S14, 1
B03, Trade, 85907.483, 136, B03, S04, 1
B03, Trade, 85918.767, 140, B03, S13, 1
B03, Trade, 85925.033, 140, B03, S11, 1
B03, Trade, 85929.067, 140, B03, S13, 1
B03, Trade, 85932.567, 139, B03, S28, 1
B03, Trade, 85936.850, 136, B03, S16, 1
B03, Trade, 85942.217, 138, B03, S12, 1
B03, Trade, 85945.283, 132, B03, S03, 1
B03, Trade, 85951.550, 140, B03, S19, 1
B03, Trade, 85959.017, 125, S29, B03, 1
B03, Trade, 85961.600, 138, B03, S21, 1
B03, Trade, 85971.100, 137, B03, S01, 1
B03, Trade, 85979.750, 139, B03, S22, 1
B03, Trade, 85984.450, 138, S29, B03, 1
B03, Trade, 85990.050, 138, B03, S26, 1
B03, Trade, 85990.500, 132, S11, B03, 1
B03, Trade, 85998.267, 116, B03, S12, 1
B03, Trade, 86000.750, 129, B03, S00, 1
B03, Trade, 86006.800, 137, B03, S05, 1
B03, Trade, 86010.583, 121, S13, B03, 1
B03, Trade, 86015.900, 140, B03, S10, 1
B03, Trade, 86021.333, 114, S10, B03, 1
B03, Trade, 86029.333, 121, B03, S22, 1
B03, Trade, 86032.850, 133, B03, S01, 1
B03, Trade, 86040.050, 140, B03, S04, 1
B03, Trade, 86051.317, 133, B03, S01, 1
B03, Trade, 86052.833, 139, B03, S20, 1
B03, Trade, 86061.817, 125, B03, S19, 1
B03, Trade, 86064.000, 133, S28, B03, 1
B03, Trade, 86068.017, 140, B03, S25, 1
B03, Trade, 86074.867, 133, B03, S08, 1
B03, Trade, 86081.633, 134, B03, S02, 1
B03, Trade, 86083.867, 137, B03, S10, 1
B03, Trade, 86090.633, 127, B03, S19, 1
B03, Trade, 86092.117, 136, S00, B03, 1
B03, Trade, 86099.517, 139, S27, B03, 1
B03, Trade, 86104.883, 134, B03, S10, 1
B03, Trade, 86107.383, 136, B03, S17, 1
B03, Trade, 86114.700, 139, B03, S16, 1
B03, Trade, 86118.883, 134, S25, B03, 1
B03, Trade, 86120.800, 126, B03, S13, 1
B03, Trade, 86130.250, 134, B03, S03, 1
B03, Trade, 86133.200, 129, S13, B03, 1
B03, Trade, 86140.683, 138, B03, S02, 1
B03, Trade, 86145.850, 135, B03, S20, 1
B03, Trade, 86148.417, 102, S01, B03, 1
B03, Trade, 86151.983, 138, B03, S03, 1
B03, Trade, 86158.467, 110, S01, B03, 1
B03, Trade, 86162.133, 134, B03, S21, 1
B03, Trade, 86169.617, 134, B03, S07, 1
B03, Trade, 86173.217, 107, S15, B03, 1
B03, Trade, 86180.150, 140, B03, S19, 1
B03, Trade, 86186.617, 139, B03, S11, 1
B03, Trade, 86190.167, 140, B03, S14, 1
B03, Trade, 86195.600, 139, B03, S16, 1
B03, Trade, 86197.633, 138, B03, S13, 1
B03, Trade, 86201.517, 124, S10, B03, 1
B03, Trade, 86209.533, 139, B03, S08, 1
B03, Trade, 86215.633, 140, B03, S11, 1
B03, Trade, 86216.550, 132, B03, S16, 1
B03, Trade, 86226.183, 140, B03, S04, 1
B03, Trade, 86235.700, 138, B03, S02, 1
B03, Trade, 86239.317, 138, B03, S00, 1
B03, Trade, 86244.017, 135, B03, S10, 1
B03, Trade, 86246.167, 135, S09, B03, 1
B03, Trade, 86253.133, 131, B03, S11, 1
B03, Trade, 86263.317, 139, B03, S17, 1
B03, Trade, 86266.017, 140, B03, S25, 1
B03, Trade, 86268.050, 135, B03, S25, 1
B03, Trade, 86276.100, 140, B03, S01, 1
B03, Trade, 86282.700, 132, B03, S11, 1
B03, Trade, 86286.300, 135, B03, S02, 1
B03, Trade, 86287.983, 137, B03, S12, 1
B03, Trade, 86291.700, 129, B03, S15, 1
B03, Trade, 86300.050, 134, B03, S26, 1
B03, Trade, 86306.117, 140, B03, S26, 1
B03, Trade, 86311.900, 136, S15, B03, 1
B03, Trade, 86318.800, 140, B03, S21, 1
B03, Trade, 86325.567, 140, B03, S10, 1
B03, Trade, 86327.033, 129, B03, S20, 1
B03, Trade, 86336.883, 137, B03, S20, 1
B03, Trade, 86338.517, 118, S28, B03, 1
B03, Trade, 86344.700, 140, B03, S26, 1
B03, Trade, 86350.850, 122, S11, B03, 1
B03, Trade, 86353.633, 140, B03, S14, 1
B03, Trade, 86362.250, 139, B03, S07, 1
B03, Trade, 86366.433, 127, B03, S01, 1
B03, Trade, 86371.883, 138, B03, S27, 1
B03, Trade, 86375.283, 91, S07, B03, 1
B03, Trade, 86380.400, 136, B03, S03, 1
B03, Trade, 86382.517, 138, B03, S01, 1
B03, Trade, 86389.700, 138, B03, S19, 1
B03, Trade, 86395.517, 136, B03, S15, 1
B04, 100
B04, Trade, 85036.867, 108, B04, S02, 1
B04, Trade, 85041.833, 119, B04, S00, 1
B04, Trade, 85044.650, 104, B04, S18, 1
B04, Trade, 85071.400, 91, B04, S18, 1
B04, Trade, 85083.717, 117, B04, S25, 1
B04, Trade, 85085.933, 110, S24, B04, 1
B04, Trade, 85092.833, 100, B04, S01, 1
B04, Trade, 85148.600, 107, B04, S20, 1
B04, Trade, 85160.717, 110, S26, B04, 1
B04, Trade, 85170.033, 93, B04, S02, 1
B04, Trade, 85173.633, 118, B04, S07, 1
B04, Trade, 85187.333, 131, B04, S23, 1
B04, Trade, 85208.150, 127, B04, S17, 1
B04, Trade, 85213.250, 113, S24, B04, 1
B04, Trade, 85229.867, 123, B04, S20, 1
B04, Trade, 85235.717, 117, B04, S21, 1
B04, Trade, 85244.650, 136, B04, S01, 1
B04, Trade, 85274.567, 114, B04, S19, 1
B04, Trade, 85287.050, 120, B04, S25, 1
B04, Trade, 85302.583, 129, B04, S02, 1
B04, Trade, 85319.217, 119, B04, S20, 1
B04, Trade, 85325.617, 102, B04, S11, 1
B04, Trade, 85363.850, 130, B04, S23, 1
B04, Trade, 85385.083, 99, B04, S24, 1
B04, Trade, 85397.583, 124, B04, S07, 1
B04, Trade, 85420.633, 113, B04, S23, 1
B04, Trade, 85424.567, 121, B04, S12, 1
B04, Trade, 85452.933, 104, B04, S21, 1
B04, Trade, 85464.750, 120, B04, S13, 1
B04, Trade, 85472.700, 122, S11, B04, 1
B04, Trade, 85475.883, 99, B04, S19, 1
B04, Trade, 85482.500, 110, B04, S02, 1
B04, Trade, 85488.383, 131, B04, S19, 1
B04, Trade, 85511.150, 101, B04, S26, 1
B04, Trade, 85537.650, 131, B04, S18, 1
B04, Trade, 85557.567, 129, B04, S01, 1
B04, Trade, 85565.533, 126, B04, S00, 1
B04, Trade, 85573.417, 88, B04, S19, 1
B04, Trade, 85593.367, 122, B04, S24, 1
B04, Trade, 85601.183, 125, B04, S18, 1
B04, Trade, 85613.800, 80, B04, S04, 1
B04, Trade, 85614.783, 99, S05, B04, 1
B04, Trade, 85624.967, 106, B04, S17, 1
B04, Trade, 85629.967, 113, B04, S26, 1
B04, Trade, 85637.850, 132, B04, S24, 1
B04, Trade, 85668.733, 96, B04, S12, 1
B04, Trade, 85673.000, 110, B04, S03, 1
