B01, Trade, 86014.800, 121, S14, B01, 1
B01, Trade, 86015.467, 122, S01, B01, 1
B01, Trade, 86025.000, 138, S26, B01, 1
B01, Trade, 86027.817, 130, S13, B01, 1
B01, Trade, 86031.667, 131, S19, B01, 1
B01, Trade, 86037.900, 139, B01, S05, 1
B01, Trade, 86048.717, 121, S13, B01, 1
B01, Trade, 86053.467, 139, B01, S27, 1
B01, Trade, 86058.750, 126, S14, B01, 1
B01, Trade, 86062.417, 132, S27, B01, 1
B01, Trade, 86066.683, 131, B01, S11, 1
B01, Trade, 86073.450, 139, B01, S13, 1
B01, Trade, 86077.917, 132, S27, B01, 1
B01, Trade, 86080.333, 131, S13, B01, 1
B01, Trade, 86087.933, 135, S14, B01, 1
B01, Trade, 86093.083, 128, S24, B01, 1
B01, Trade, 86097.483, 140, B01, S00, 1
B01, Trade, 86102.717, 139, B01, S25, 1
B01, Trade, 86105.800, 136, S13, B01, 1
B01, Trade, 86112.417, 130, S19, B01, 1
B01, Trade, 86119.083, 140, B01, S03, 1
B01, Trade, 86122.750, 122, S27, B01, 1
B01, Trade, 86128.083, 127, S21, B01, 1
B01, Trade, 86136.350, 110, S14, B01, 1
B01, Trade, 86144.400, 140, B01, S19, 1
B01, Trade, 86146.683, 124, S13, B01, 1
B01, Trade, 86155.450, 134, S13, B01, 1
B01, Trade, 86158.133, 139, B01, S15, 1
B01, Trade, 86161.433, 140, B01, S07, 1
B01, Trade, 86169.933, 140, S19, B01, 1
B01, Trade, 86171.567, 139, B01, S03, 1
B01, Trade, 86177.167, 131, S20, B01, 1
B01, Trade, 86186.300, 133, S14, B01, 1
B01, Trade, 86190.033, 114, S14, B01, 1
B01, Trade, 86192.100, 136, B01, S09, 1
B01, Trade, 86198.883, 132, S26, B01, 1
B01, Trade, 86204.050, 136, S01, B01, 1
B01, Trade, 86209.533, 139, B01, S17, 1
B01, Trade, 86215.683, 106, S27, B01, 1
B01, Trade, 86217.867, 124, S01, B01, 1
B01, Trade, 86225.250, 124, S26, B01, 1
B01, Trade, 86231.117, 140, B01, S24, 1
