B00, 1
B04, Trade, 32022.600, 211, B04, S00, 1
B04, Trade, 32038.450, 212, B04, S01, 1
B04, Trade, 32117.375, 206, B04, S01, 1
B04, Trade, 32342.375, 209, B04, S00, 1
B04, Trade, 32369.675, 207, B04, S01, 1
B04, Trade, 32455.850, 202, S00, B04, 1
B04, Trade, 32562.125, 210, B04, S00, 1
B04, Trade, 32746.750, 214, B04, S01, 1
B04, Trade, 32957.525, 200, S00, B04, 1
B04, Trade, 33070.100, 214, B04, S01, 1
B04, Trade, 33195.850, 214, B04, S04, 1
B04, Trade, 33223.450, 213, B04, S00, 1
B04, Trade, 33332.150, 205, B04, S00, 1
B04, Trade, 33378.500, 213, B04, S00, 1
B04, Trade, 33440.600, 212, B04, S00, 1
B04, Trade, 33514.850, 211, B04, S00, 1
B04, Trade, 33550.950, 204, B04, S00, 1
B04, Trade, 33725.550, 207, B04, S00, 1
B04, Trade, 33849.675, 203, S01, B04, 1
B04, Trade, 33907.725, 211, B04, S00, 1
B04, Trade, 34315.450, 209, B04, S01, 1
B04, Trade, 34370.100, 204, B04, S00, 1
B04, Trade, 34384.950, 203, B04, S00, 1
B04, Trade, 34405.525, 203, B04, S00, 1
B04, Trade, 34546.025, 206, B04, S00, 1
B04, Trade, 34727.800, 204, B04, S00, 1
B04, Trade, 34848.950, 209, B04, S00, 1
B04, Trade, 34935.450, 207, B04, S00, 1
B04, Trade, 35118.700, 211, B04, S01, 1
B04, Trade, 35144.925, 214, B04, S00, 1
B04, Trade, 35222.750, 212, B04, S01, 1
B04, Trade, 35704.025, 206, B04, S00, 1
B04, Trade, 35769.800, 203, B04, S00, 1
B04, Trade, 41831.450, 206, B04, S01, 1
B04, Trade, 43235.950, 213, B04, S00, 1
B04, Trade, 43838.250, 210, S01, B04, 1
B04, Trade, 43871.725, 211, B04, S00, 1
B04, Trade, 44660.850, 209, B04, S00, 1
B04, Trade, 45109.075, 211, B04, S00, 1
B04, Trade, 45116.375, 214, B04, S00, 1
