Trd, 085771.367, 120
Trd, 085771.500, 140
Trd, 085771.733, 139
Trd, 085772.250, 118
Trd, 085772.483, 110
Trd, 085772.833, 110
Trd, 085772.850, 105
Trd, 085773.533, 140
Trd, 085773.867, 138
Trd, 085774.467, 138
Trd, 085774.667, 136
Trd, 085774.750, 139
Trd, 085775.967, 122
Trd, 085776.017, 140
Trd, 085776.067, 135
Trd, 085776.150, 119
Trd, 085776.250, 118
Trd, 085776.650, 136
Trd, 085777.117, 132
Trd, 085777.183, 129
Trd, 085777.667, 121
Trd, 085777.750, 118
Trd, 085777.883, 133
Trd, 085778.133, 131
Trd, 085778.350, 130
Trd, 085778.633, 130
Trd, 085779.333, 133
Trd, 085779.400, 133
Trd, 085779.717, 133
Trd, 085779.883, 136
Trd, 085779.900, 137
Trd, 085780.500, 133
Trd, 085781.200, 140
Trd, 085781.233, 126
Trd, 085781.350, 124
Trd, 085781.367, 122
Trd, 085781.567, 122
Trd, 085782.217, 140
Trd, 085782.317, 139
Trd, 085782.533, 133
Trd, 085782.633, 131
Trd, 085782.983, 121
Trd, 085783.033, 105
Trd, 085783.217, 127
Trd, 085783.417, 139
Trd, 085783.817, 140
Trd, 085783.983, 140
Trd, 085784.050, 138
Trd, 085784.133, 132
Trd, 085784.333, 127
Trd, 085785.300, 138
Trd, 085785.350, 138
Trd, 085785.750, 137
Trd, 085785.917, 128
Trd, 085785.967, 139
Trd, 085786.267, 115
Trd, 085786.317, 140
Trd, 085786.917, 123
Trd, 085787.100, 122
Trd, 085787.300, 109
Trd, 085787.833, 129
Trd, 085788.117, 137
Trd, 085788.267, 136
Trd, 085788.400, 140
Trd, 085788.567, 135
Trd, 085788.750, 134
Trd, 085789.083, 124
Trd, 085789.283, 130
Trd, 085789.850, 128
Trd, 085790.050, 123
Trd, 085790.667, 125
Trd, 085790.900, 129
Trd, 085791.150, 139
Trd, 085791.383, 126
Trd, 085791.633, 140
Trd, 085792.083, 140
Trd, 085792.150, 140
Trd, 085792.450, 140
Trd, 085792.683, 140
Trd, 085792.883, 138
Trd, 085793.017, 123
Trd, 085793.150, 127
Trd, 085793.183, 117
Trd, 085793.700, 110
Trd, 085793.883, 128
Trd, 085794.100, 140
Trd, 085794.167, 109
Trd, 085795.033, 138
Trd, 085795.067, 126
Trd, 085795.117, 117
Trd, 085795.167, 134
Trd, 085795.217, 140
Trd, 085796.467, 140
Trd, 085796.800, 140
Trd, 085796.950, 139
Trd, 085797.000, 136
Trd, 085797.283, 135
Trd, 085797.433, 116
Trd, 085797.567, 115
Trd, 085797.983, 123
Trd, 085798.467, 109
Trd, 085799.033, 124
Trd, 085799.483, 122
Trd, 085799.633, 128
Trd, 085800.200, 128
