B01, Trade, 85992.533, 133, B01, S04, 1
B01, Trade, 85997.233, 131, B01, S11, 1
B01, Trade, 86005.083, 125, S29, B01, 1
B01, Trade, 86006.533, 119, B01, S24, 1
B01, Trade, 86015.300, 129, S24, B01, 1
B01, Trade, 86018.500, 137, B01, S03, 1
B01, Trade, 86024.600, 134, S05, B01, 1
B01, Trade, 86027.683, 139, S16, B01, 1
B01, Trade, 86030.317, 128, S18, B01, 1
B01, Trade, 86039.067, 133, B01, S20, 1
B01, Trade, 86043.683, 114, S26, B01, 1
B01, Trade, 86047.950, 97, S22, B01, 1
B01, Trade, 86051.917, 124, S05, B01, 1
B01, Trade, 86055.983, 132, B01, S28, 1
B01, Trade, 86066.783, 122, B01, S22, 1
B01, Trade, 86073.450, 129, B01, S00, 1
B01, Trade, 86080.133, 124, S04, B01, 1
B01, Trade, 86084.433, 130, S21, B01, 1
B01, Trade, 86090.000, 108, S15, B01, 1
B01, Trade, 86099.717, 119, B01, S21, 1
B01, Trade, 86100.617, 128, B01, S11, 1
B01, Trade, 86111.950, 133, B01, S24, 1
B01, Trade, 86118.333, 136, S09, B01, 1
B01, Trade, 86127.750, 138, B01, S24, 1
B01, Trade, 86129.683, 133, B01, S25, 1
B01, Trade, 86131.367, 129, B01, S24, 1
B01, Trade, 86140.033, 125, B01, S10, 1
B01, Trade, 86146.483, 88, B01, S27, 1
B01, Trade, 86147.567, 91, S03, B01, 1
B01, Trade, 86156.400, 135, B01, S19, 1
B01, Trade, 86158.650, 134, B01, S19, 1
B01, Trade, 86164.283, 110, S09, B01, 1
B01, Trade, 86168.167, 134, S16, B01, 1
B01, Trade, 86172.683, 121, B01, S15, 1
B01, Trade, 86182.650, 124, B01, S27, 1
B01, Trade, 86189.083, 134, S16, B01, 1
B01, Trade, 86193.383, 126, B01, S11, 1
B01, Trade, 86200.300, 136, B01, S00, 1
B01, Trade, 86211.950, 128, B01, S16, 1
B01, Trade, 86218.383, 102, S29, B01, 1
B01, Trade, 86223.083, 131, B01, S27, 1
B01, Trade, 86227.867, 126, B01, S23, 1
B01, Trade, 86234.500, 123, B01, S11, 1
B01, Trade, 86240.367, 132, B01, S02, 1
B01, Trade, 86246.967, 132, B01, S27, 1
B01, Trade, 86249.700, 132, B01, S11, 1
B01, Trade, 86257.000, 120, B01, S26, 1
B01, Trade, 86262.400, 115, S07, B01, 1
B01, Trade, 86271.183, 132, B01, S28, 1
B01, Trade, 86278.417, 121, S19, B01, 1
B01, Trade, 86281.150, 119, S29, B01, 1
B01, Trade, 86285.133, 139, B01, S20, 1
B01, Trade, 86295.083, 140, B01, S00, 1
B01, Trade, 86298.717, 122, B01, S26, 1
B01, Trade, 86306.350, 128, B01, S20, 1
B01, Trade, 86312.033, 132, B01, S24, 1
B01, Trade, 86316.483, 114, S01, B01, 1
B01, Trade, 86321.867, 134, B01, S09, 1
B01, Trade, 86325.883, 137, S16, B01, 1
B01, Trade, 86329.667, 136, S16, B01, 1
B01, Trade, 86339.500, 128, B01, S24, 1
B01, Trade, 86340.800, 138, B01, S17, 1
B01, Trade, 86343.417, 128, B01, S20, 1
B01, Trade, 86349.167, 123, B01, S22, 1
B01, Trade, 86355.033, 110, S21, B01, 1
B01, Trade, 86360.017, 130, S29, B01, 1
B01, Trade, 86365.000, 138, B01, S26, 1
B01, Trade, 86367.300, 129, B01, S29, 1
B01, Trade, 86376.217, 126, B01, S26, 1
B01, Trade, 86384.533, 131, B01, S11, 1
B01, Trade, 86392.167, 127, B01, S24, 1
B01, Trade, 86396.050, 134, S07, B01, 1
B01, Trade, 86399.517, 139, B01, S25, 1
B02, 100
B02, Trade, 85581.367, 125, B02, S06, 1
B02, Trade, 85586.333, 114, S24, B02, 1
B02, Trade, 85591.083, 119, S05, B02, 1
B02, Trade, 85596.917, 124, B02, S01, 1
B02, Trade, 85597.583, 133, S18, B02, 1
B02, Trade, 85619.483, 126, B02, S28, 1
B02, Trade, 85619.800, 138, B02, S03, 1
B02, Trade, 85629.417, 113, B02, S28, 1
B02, Trade, 85634.050, 111, B02, S15, 1
B02, Trade, 85645.217, 105, B02, S16, 1
B02, Trade, 85654.900, 110, B02, S20, 1
B02, Trade, 85661.717, 131, B02, S27, 1
B02, Trade, 85703.133, 107, B02, S28, 1
B02, Trade, 85706.267, 89, B02, S26, 1
B02, Trade, 85722.033, 110, S17, B02, 1
B02, Trade, 85723.900, 99, S05, B02, 1
B02, Trade, 85734.400, 86, B02, S03, 1
B02, Trade, 85743.433, 123, B02, S00, 1
B02, Trade, 85748.983, 114, B02, S24, 1
B02, Trade, 85760.767, 131, B02, S22, 1
B02, Trade, 85765.817, 135, B02, S25, 1
B02, Trade, 85773.850, 119, B02, S19, 1
B02, Trade, 85782.800, 109, B02, S01, 1
B02, Trade, 85793.783, 124, B02, S24, 1
B02, Trade, 85806.467, 105, B02, S00, 1
B02, Trade, 85810.300, 88, B02, S08, 1
B02, Trade, 85832.750, 134, B02, S23, 1
B02, Trade, 85836.517, 134, B02, S00, 1
B02, Trade, 85842.200, 118, S07, B02, 1
B02, Trade, 85845.883, 130, S13, B02, 1
B02, Trade, 85861.633, 116, B02, S01, 1
B02, Trade, 85869.383, 122, B02, S14, 1
B02, Trade, 85875.683, 126, B02, S11, 1
B02, Trade, 85884.567, 129, B02, S24, 1
B02, Trade, 85887.233, 120, S16, B02, 1
B02, Trade, 85891.933, 111, B02, S20, 1
B02, Trade, 85904.183, 137, B02, S25, 1
B02, Trade, 85916.383, 105, B02, S20, 1
B02, Trade, 85940.383, 109, B02, S07, 1
B02, Trade, 85947.767, 125, B02, S22, 1
B02, Trade, 85953.850, 137, B02, S20, 1
B02, Trade, 85956.267, 137, B02, S20, 1
B02, Trade, 85963.083, 139, B02, S12, 1
B02, Trade, 85966.583, 124, S18, B02, 1
B02, Trade, 85974.617, 109, B02, S02, 1
B02, Trade, 85984.600, 134, B02, S25, 1
B02, Trade, 85993.733, 126, B02, S27, 1
B02, Trade, 86007.600, 137, B02, S20, 1
B02, Trade, 86026.600, 134, B02, S11, 1
B02, Trade, 86034.883, 135, S16, B02, 1
B02, Trade, 86045.350, 138, B02, S19, 1
B02, Trade, 86049.100, 103, S02, B02, 1
B02, Trade, 86056.500, 132, B02, S06, 1
B02, Trade, 86064.700, 118, B02, S12, 1
B02, Trade, 86067.633, 125, B02, S20, 1
B02, Trade, 86074.817, 124, B02, S13, 1
B02, Trade, 86077.300, 86, S26, B02, 1
B02, Trade, 86085.150, 136, B02, S08, 1
B02, Trade, 86087.900, 123, S18, B02, 1
B02, Trade, 86097.050, 123, B02, S19, 1
B02, Trade, 86099.683, 126, S12, B02, 1
B02, Trade, 86108.850, 132, B02, S26, 1
B02, Trade, 86114.633, 129, B02, S17, 1
B02, Trade, 86119.700, 125, B02, S13, 1
B02, Trade, 86126.533, 115, B02, S00, 1
B02, Trade, 86134.717, 114, S25, B02, 1
B02, Trade, 86142.083, 124, B02, S25, 1
B02, Trade, 86154.317, 108, B02, S21, 1
B02, Trade, 86161.533, 129, S05, B02, 1
B02, Trade, 86167.500, 137, B02, S20, 1
B02, Trade, 86171.417, 131, B02, S26, 1
B02, Trade, 86184.133, 120, S29, B02, 1
B02, Trade, 86192.500, 105, B02, S00, 1
B02, Trade, 86199.683, 137, B02, S20, 1
B02, Trade, 86202.200, 125, B02, S03, 1
B02, Trade, 86212.800, 121, S05, B02, 1
B02, Trade, 86230.000, 111, B02, S19, 1
B02, Trade, 86238.183, 110, B02, S11, 1
B02, Trade, 86248.817, 130, B02, S28, 1
B02, Trade, 86254.050, 133, B02, S25, 1
B02, Trade, 86266.983, 122, B02, S25, 1
B02, Trade, 86274.133, 117, B02, S21, 1
B02, Trade, 86276.700, 133, B02, S28, 1
B02, Trade, 86283.133, 83, B02, S01, 1
B02, Trade, 86286.017, 134, S29, B02, 1
B02, Trade, 86299.383, 96, B02, S10, 1
B02, Trade, 86312.050, 128, B02, S03, 1
B02, Trade, 86314.517, 123, S22, B02, 1
B02, Trade, 86324.333, 64, B02, S11, 1
B02, Trade, 86331.800, 107, B02, S20, 1
B02, Trade, 86337.667, 78, B02, S21, 1
B02, Trade, 86338.583, 109, S05, B02, 1
B02, Trade, 86343.267, 129, B02, S27, 1
B02, Trade, 86353.283, 110, S05, B02, 1
B02, Trade, 86357.733, 135, B02, S09, 1
B02, Trade, 86358.900, 135, B02, S02, 1
B02, Trade, 86373.000, 126, B02, S08, 1
B02, Trade, 86386.000, 115, B02, S03, 1
B02, Trade, 86392.800, 119, B02, S13, 1
B02, Trade, 86395.667, 136, B02, S24, 1
B03, 100
B03, Trade, 85869.900, 119, B03, S02, 1
B03, Trade, 85873.533, 129, B03, S08, 1
B03, Trade, 85877.633, 84, B03, S22, 1
B03, Trade, 85886.900, 120, B03, S07, 1
B03, Trade, 85893.367, 92, B03, S08, 1
B03, Trade, 85894.817, 138, B03, S10, 1
B03, Trade, 85901.233, 119, B03, S25, 1
B03, Trade, 85912.683, 120, B03, S09, 1
B03, Trade, 85916.083, 106, B03, S00, 1
B03, Trade, 85925.167, 120, B03, S12, 1
B03, Trade, 85928.883, 108, B03, S12, 1
B03, Trade, 85930.267, 125, B03, S01, 1
B03, Trade, 85935.583, 119, B03, S22, 1
B03, Trade, 85941.950, 121, B03, S06, 1
B03, Trade, 85949.317, 120, B03, S25, 1
B03, Trade, 85952.800, 140, B03, S29, 1
B03, Trade, 85956.950, 116, B03, S01, 1
B03, Trade, 85965.417, 98, B03, S11, 1
B03, Trade, 85968.533, 122, B03, S26, 1
B03, Trade, 85973.767, 127, B03, S27, 1
B03, Trade, 85981.433, 124, B03, S24, 1
B03, Trade, 85985.900, 111, B03, S23, 1
B03, Trade, 85991.083, 127, B03, S28, 1
B03, Trade, 85999.367, 112, B03, S28, 1
B03, Trade, 86003.000, 140, B03, S06, 1
B03, Trade, 86008.067, 117, B03, S11, 1
B03, Trade, 86013.317, 126, B03, S06, 1
B03, Trade, 86016.717, 137, B03, S18, 1
B03, Trade, 86023.433, 125, B03, S22, 1
B03, Trade, 86026.150, 140, B03, S01, 1
B03, Trade, 86031.433, 124, B03, S01, 1
B03, Trade, 86037.933, 123, B03, S22, 1
B03, Trade, 86042.550, 111, B03, S08, 1
B03, Trade, 86051.883, 122, B03, S00, 1
B03, Trade, 86055.333, 125, B03, S03, 1
B03, Trade, 86057.783, 120, B03, S27, 1
B03, Trade, 86063.767, 137, B03, S17, 1
B03, Trade, 86065.167, 116, B03, S28, 1
B03, Trade, 86075.967, 104, B03, S20, 1
B03, Trade, 86080.517, 106, B03, S08, 1
B03, Trade, 86094.350, 135, B03, S02, 1
B03, Trade, 86094.867, 136, B03, S28, 1
B03, Trade, 86096.333, 115, B03, S17, 1
B03, Trade, 86101.533, 112, B03, S25, 1
B03, Trade, 86106.683, 123, B03, S29, 1
B03, Trade, 86113.617, 129, B03, S14, 1
B03, Trade, 86117.417, 113, B03, S00, 1
B03, Trade, 86124.667, 131, B03, S18, 1
B03, Trade, 86128.717, 140, B03, S28, 1
B03, Trade, 86133.150, 108, B03, S22, 1
B03, Trade, 86139.900, 127, B03, S20, 1
B03, Trade, 86142.300, 120, B03, S21, 1
B03, Trade, 86151.317, 103, B03, S02, 1
B03, Trade, 86156.083, 140, B03, S24, 1
B03, Trade, 86159.750, 125, B03, S27, 1
B03, Trade, 86163.000, 140, B03, S17, 1
B03, Trade, 86168.750, 124, B03, S22, 1
B03, Trade, 86174.633, 109, B03, S08, 1
B03, Trade, 86178.883, 129, B03, S20, 1
B03, Trade, 86184.417, 88, B03, S20, 1
B03, Trade, 86189.683, 117, B03, S03, 1
B03, Trade, 86191.917, 106, B03, S21, 1
B03, Trade, 86199.783, 128, B03, S25, 1
B03, Trade, 86200.950, 127, B03, S11, 1
B03, Trade, 86210.533, 126, B03, S22, 1
B03, Trade, 86215.167, 85, B03, S24, 1
B03, Trade, 86217.250, 103, B03, S17, 1
B03, Trade, 86223.850, 140, B03, S18, 1
B03, Trade, 86227.617, 128, B03, S26, 1
B03, Trade, 86234.983, 122, S25, B03, 1
B03, Trade, 86242.483, 109, B03, S02, 1
B03, Trade, 86245.633, 140, B03, S13, 1
B03, Trade, 86250.967, 140, B03, S00, 1
B03, Trade, 86254.450, 124, B03, S20, 1
B03, Trade, 86261.283, 116, B03, S02, 1
B03, Trade, 86266.233, 140, B03, S00, 1
B03, Trade, 86269.400, 105, B03, S18, 1
B03, Trade, 86274.450, 140, B03, S25, 1
B03, Trade, 86281.983, 102, B03, S02, 1
B03, Trade, 86286.000, 124, B03, S24, 1
B03, Trade, 86288.400, 113, B03, S04, 1
B03, Trade, 86292.283, 134, B03, S28, 1
B03, Trade, 86301.617, 101, B03, S09, 1
B03, Trade, 86303.533, 107, B03, S12, 1
B03, Trade, 86310.717, 102, B03, S28, 1
B03, Trade, 86316.800, 117, B03, S02, 1
B03, Trade, 86318.133, 140, B03, S08, 1
B03, Trade, 86322.950, 113, B03, S25, 1
B03, Trade, 86332.450, 105, B03, S10, 1
B03, Trade, 86336.050, 124, B03, S00, 1
B03, Trade, 86340.417, 140, B03, S08, 1
B03, Trade, 86346.717, 123, B03, S25, 1
B03, Trade, 86349.267, 123, B03, S02, 1
B03, Trade, 86356.467, 112, B03, S13, 1
B03, Trade, 86363.517, 135, B03, S28, 1
B03, Trade, 86366.333, 120, B03, S01, 1
B03, Trade, 86370.867, 114, B03, S12, 1
B03, Trade, 86377.467, 115, B03, S01, 1
B03, Trade, 86388.817, 112, B03, S20, 1
B03, Trade, 86399.617, 128, B03, S12, 1
B04, 100
B04, Trade, 85847.383, 140, B04, S03, 1
B04, Trade, 85850.933, 129, B04, S28, 1
B04, Trade, 85857.683, 140, B04, S05, 1
B04, Trade, 85864.067, 140, B04, S27, 1
B04, Trade, 85868.017, 140, B04, S26, 1
B04, Trade, 85871.500, 101, B04, S20, 1
B04, Trade, 85880.317, 140, B04, S22, 1
B04, Trade, 85883.083, 139, B04, S11, 1
B04, Trade, 85890.300, 117, B04, S23, 1
B04, Trade, 85894.567, 122, B04, S01, 1
B04, Trade, 85901.383, 119, B04, S24, 1
B04, Trade, 85902.283, 134, B04, S28, 1
B04, Trade, 85907.350, 131, B04, S08, 1
B04, Trade, 85913.700, 105, B04, S08, 1
B04, Trade, 85918.300, 111, S05, B04, 1
B04, Trade, 85924.600, 118, B04, S20, 1
B04, Trade, 85925.267, 119, B04, S25, 1
B04, Trade, 85933.433, 134, B04, S08, 1
B04, Trade, 85935.833, 112, B04, S15, 1
B04, Trade, 85945.650, 139, B04, S01, 1
B04, Trade, 85947.667, 127, B04, S20, 1
B04, Trade, 85954.400, 134, B04, S06, 1
B04, Trade, 85970.183, 139, B04, S25, 1
B04, Trade, 85981.400, 128, B04, S10, 1
B04, Trade, 85987.933, 139, B04, S11, 1
B04, Trade, 85992.317, 131, B04, S20, 1
B04, Trade, 85996.367, 140, B04, S21, 1
B04, Trade, 86001.783, 138, B04, S09, 1
B04, Trade, 86009.117, 117, B04, S27, 1
B04, Trade, 86011.183, 118, B04, S00, 1
B04, Trade, 86020.133, 122, B04, S24, 1
B04, Trade, 86025.383, 129, B04, S17, 1
B04, Trade, 86029.000, 93, B04, S12, 1
B04, Trade, 86032.183, 123, B04, S20, 1
B04, Trade, 86038.367, 123, B04, S11, 1
B04, Trade, 86043.717, 109, B04, S04, 1
B04, Trade, 86046.250, 97, B04, S11, 1
B04, Trade, 86054.267, 123, B04, S02, 1
B04, Trade, 86057.150, 119, B04, S24, 1
B04, Trade, 86060.933, 107, B04, S21, 1
B04, Trade, 86067.983, 118, B04, S17, 1
B04, Trade, 86072.833, 130, B04, S20, 1
B04, Trade, 86075.933, 106, B04, S28, 1
B04, Trade, 86083.300, 124, B04, S24, 1
B04, Trade, 86089.317, 119, B04, S01, 1
B04, Trade, 86093.333, 140, B04, S17, 1
B04, Trade, 86100.250, 113, B04, S24, 1
B04, Trade, 86105.767, 120, B04, S11, 1
