B01, Trade, 85712.917, 130, B01, S04, 1
B01, Trade, 85729.133, 130, S17, B01, 1
B01, Trade, 85736.750, 117, S19, B01, 1
B01, Trade, 85748.417, 97, B01, S24, 1
B01, Trade, 85765.683, 115, S09, B01, 1
B01, Trade, 85787.783, 130, B01, S22, 1
B01, Trade, 85800.267, 121, B01, S24, 1
B01, Trade, 85811.050, 111, B01, S16, 1
B01, Trade, 85817.483, 114, B01, S04, 1
B01, Trade, 85820.350, 111, S23, B01, 1
B01, Trade, 85827.150, 115, B01, S08, 1
B01, Trade, 85834.367, 113, B01, S06, 1
B01, Trade, 85842.133, 130, B01, S10, 1
B01, Trade, 85846.767, 127, B01, S27, 1
B01, Trade, 85857.867, 121, B01, S22, 1
B01, Trade, 85863.750, 87, S27, B01, 1
B01, Trade, 85874.400, 119, B01, S26, 1
B01, Trade, 85876.650, 128, S09, B01, 1
B01, Trade, 85880.400, 106, S10, B01, 1
B01, Trade, 85897.217, 126, B01, S07, 1
B01, Trade, 85902.267, 133, B01, S03, 1
B01, Trade, 85910.233, 105, S09, B01, 1
B01, Trade, 85913.217, 136, S11, B01, 1
B01, Trade, 85925.650, 138, B01, S08, 1
B01, Trade, 85927.867, 124, B01, S26, 1
B01, Trade, 85935.933, 135, S19, B01, 1
B01, Trade, 85942.583, 128, S09, B01, 1
B01, Trade, 85949.617, 101, B01, S12, 1
B01, Trade, 85956.433, 100, B01, S24, 1
B01, Trade, 85974.733, 127, S00, B01, 1
B01, Trade, 85978.783, 136, S09, B01, 1
B01, Trade, 85983.083, 116, S02, B01, 1
B01, Trade, 85998.483, 108, B01, S26, 1
B01, Trade, 86010.683, 115, B01, S06, 1
B01, Trade, 86035.033, 119, S13, B01, 1
B01, Trade, 86045.983, 101, B01, S04, 1
B01, Trade, 86050.100, 124, B01, S26, 1
B01, Trade, 86051.767, 120, S20, B01, 1
B01, Trade, 86063.633, 131, B01, S15, 1
B01, Trade, 86072.917, 128, B01, S18, 1
B01, Trade, 86077.417, 126, S09, B01, 1
B01, Trade, 86099.133, 119, B01, S12, 1
B01, Trade, 86113.067, 139, B01, S13, 1
B01, Trade, 86120.500, 127, B01, S16, 1
B01, Trade, 86136.000, 128, B01, S02, 1
B01, Trade, 86152.667, 92, B01, S18, 1
B01, Trade, 86156.317, 119, S16, B01, 1
B01, Trade, 86160.583, 137, B01, S02, 1
B01, Trade, 86166.233, 136, B01, S25, 1
B01, Trade, 86175.300, 117, B01, S16, 1
B01, Trade, 86178.233, 104, B01, S03, 1
B01, Trade, 86185.350, 101, B01, S05, 1
B01, Trade, 86193.583, 116, B01, S06, 1
B01, Trade, 86196.517, 110, B01, S08, 1
B01, Trade, 86202.500, 100, S03, B01, 1
B01, Trade, 86203.100, 100, S18, B01, 1
B01, Trade, 86229.083, 124, B01, S29, 1
B01, Trade, 86233.817, 133, B01, S27, 1
B01, Trade, 86249.300, 98, B01, S22, 1
B01, Trade, 86257.200, 103, B01, S01, 1
B01, Trade, 86275.850, 127, B01, S02, 1
B01, Trade, 86296.717, 111, B01, S05, 1
B01, Trade, 86305.917, 118, S27, B01, 1
B01, Trade, 86325.117, 127, B01, S11, 1
B01, Trade, 86338.767, 110, B01, S10, 1
B01, Trade, 86342.133, 122, B01, S05, 1
B01, Trade, 86344.267, 96, S07, B01, 1
B01, Trade, 86356.183, 96, B01, S10, 1
B01, Trade, 86356.983, 74, B01, S06, 1
B01, Trade, 86367.117, 120, B01, S21, 1
B01, Trade, 86379.283, 109, B01, S15, 1
B01, Trade, 86382.267, 121, S20, B01, 1
B01, Trade, 86397.467, 138, B01, S27, 1
B02, 100
B02, Trade, 85864.383, 125, S00, B02, 1
