t=,1, id=,B00, PRJADE,actvstrat=,-0.216311, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.855475, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.147215, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.524915, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.293123, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.134275, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,-0.792941, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,0.752117, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,-0.518950, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,0.401168, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,0.694701, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.480690, actvprof=,0.000000, id=,B12, PRJADE,actvstrat=,-0.045720, actvprof=,0.000000, id=,B13, PRJADE,actvstrat=,-0.102762, actvprof=,0.000000, id=,B14, PRJADE,actvstrat=,-0.207361, actvprof=,0.000000, id=,B15, PRJADE,actvstrat=,-0.115091, actvprof=,0.000000, id=,B16, PRJADE,actvstrat=,-0.959337, actvprof=,0.000000, id=,B17, PRJADE,actvstrat=,0.181846, actvprof=,0.000000, id=,B18, PRJADE,actvstrat=,0.388383, actvprof=,0.000000, id=,B19, PRJADE,actvstrat=,0.569713, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,0.769671, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,0.819149, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.491650, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.788333, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,-0.937634, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.631162, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.902190, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,0.975060, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.712910, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.645713, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,0.991482, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.297909, actvprof=,0.000000, id=,S12, PRJADE,actvstrat=,-0.895354, actvprof=,0.000000, id=,S13, PRJADE,actvstrat=,0.581260, actvprof=,0.000000, id=,S14, PRJADE,actvstrat=,0.852987, actvprof=,0.000000, id=,S15, PRJADE,actvstrat=,0.738627, actvprof=,0.000000, id=,S16, PRJADE,actvstrat=,-0.438004, actvprof=,0.000000, id=,S17, PRJADE,actvstrat=,-0.359970, actvprof=,0.000000, id=,S18, PRJADE,actvstrat=,-0.473805, actvprof=,0.000000, id=,S19, PRJADE,actvstrat=,-0.822473, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.216311, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.769671, 
t=,3600, id=,B00, PRJADE,actvstrat=,-0.216311, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,-0.855475, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.147215, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.524915, actvprof=,0.001389, id=,B04, PRJADE,actvstrat=,-0.293123, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.134275, actvprof=,0.013333, id=,B06, PRJADE,actvstrat=,-0.792941, actvprof=,0.073889, id=,B07, PRJADE,actvstrat=,0.752117, actvprof=,0.302500, id=,B08, PRJADE,actvstrat=,-0.518950, actvprof=,0.108333, id=,B09, PRJADE,actvstrat=,0.401168, actvprof=,0.531111, id=,B10, PRJADE,actvstrat=,0.694701, actvprof=,1.341111, id=,B11, PRJADE,actvstrat=,-0.480690, actvprof=,0.802222, id=,B12, PRJADE,actvstrat=,-0.045720, actvprof=,1.556111, id=,B13, PRJADE,actvstrat=,-0.102762, actvprof=,1.883056, id=,B14, PRJADE,actvstrat=,-0.207361, actvprof=,2.392778, id=,B15, PRJADE,actvstrat=,-0.115091, actvprof=,3.325278, id=,B16, PRJADE,actvstrat=,-0.959337, actvprof=,5.207778, id=,B17, PRJADE,actvstrat=,0.181846, actvprof=,5.534722, id=,B18, PRJADE,actvstrat=,0.388383, actvprof=,7.308056, id=,B19, PRJADE,actvstrat=,0.569713, actvprof=,8.587222, id=,S00, PRJADE,actvstrat=,0.769671, actvprof=,8.367222, id=,S01, PRJADE,actvstrat=,0.819149, actvprof=,7.390556, id=,S02, PRJADE,actvstrat=,0.491650, actvprof=,5.215278, id=,S03, PRJADE,actvstrat=,-0.788333, actvprof=,1.753056, id=,S04, PRJADE,actvstrat=,-0.937634, actvprof=,2.560556, id=,S05, PRJADE,actvstrat=,-0.631162, actvprof=,0.937500, id=,S06, PRJADE,actvstrat=,-0.902190, actvprof=,1.349444, id=,S07, PRJADE,actvstrat=,0.975060, actvprof=,1.619722, id=,S08, PRJADE,actvstrat=,0.712910, actvprof=,1.477500, id=,S09, PRJADE,actvstrat=,0.645713, actvprof=,0.867778, id=,S10, PRJADE,actvstrat=,0.991482, actvprof=,0.485278, id=,S11, PRJADE,actvstrat=,0.297909, actvprof=,0.140000, id=,S12, PRJADE,actvstrat=,-0.895354, actvprof=,0.048056, id=,S13, PRJADE,actvstrat=,0.581260, actvprof=,0.051667, id=,S14, PRJADE,actvstrat=,0.852987, actvprof=,0.045278, id=,S15, PRJADE,actvstrat=,0.738627, actvprof=,0.008889, id=,S16, PRJADE,actvstrat=,-0.438004, actvprof=,0.000000, id=,S17, PRJADE,actvstrat=,-0.359970, actvprof=,0.000000, id=,S18, PRJADE,actvstrat=,-0.473805, actvprof=,0.000000, id=,S19, PRJADE,actvstrat=,-0.822473, actvprof=,0.000000, best_B_id=,B19, best_B_prof=,8.587222, best_B_strat=,0.569713, best_S_id=,S00, best_S_prof=,8.367222, best_S_strat=,0.769671, 
t=,7200, id=,B00, PRJADE,actvstrat=,0.013543, actvprof=,0.000000, id=,B01, PRJADE,actvstrat=,0.975311, actvprof=,0.000000, id=,B02, PRJADE,actvstrat=,0.322067, actvprof=,0.000000, id=,B03, PRJADE,actvstrat=,-0.405354, actvprof=,0.000000, id=,B04, PRJADE,actvstrat=,-0.312141, actvprof=,0.000000, id=,B05, PRJADE,actvstrat=,-0.114295, actvprof=,0.000000, id=,B06, PRJADE,actvstrat=,0.069631, actvprof=,0.000000, id=,B07, PRJADE,actvstrat=,-0.860534, actvprof=,0.000000, id=,B08, PRJADE,actvstrat=,0.188229, actvprof=,0.000000, id=,B09, PRJADE,actvstrat=,-0.217018, actvprof=,0.000000, id=,B10, PRJADE,actvstrat=,-0.702777, actvprof=,0.000000, id=,B11, PRJADE,actvstrat=,-0.518251, actvprof=,0.000000, id=,B12, PRJADE,actvstrat=,-0.483512, actvprof=,0.000000, id=,B13, PRJADE,actvstrat=,-0.712892, actvprof=,0.000000, id=,B14, PRJADE,actvstrat=,0.163772, actvprof=,0.000000, id=,B15, PRJADE,actvstrat=,0.296203, actvprof=,0.000000, id=,B16, PRJADE,actvstrat=,-0.361406, actvprof=,0.000000, id=,B17, PRJADE,actvstrat=,-0.308412, actvprof=,0.000000, id=,B18, PRJADE,actvstrat=,0.055518, actvprof=,0.000000, id=,B19, PRJADE,actvstrat=,0.077272, actvprof=,0.000000, id=,S00, PRJADE,actvstrat=,-0.986720, actvprof=,0.000000, id=,S01, PRJADE,actvstrat=,-0.632778, actvprof=,0.000000, id=,S02, PRJADE,actvstrat=,0.153360, actvprof=,0.000000, id=,S03, PRJADE,actvstrat=,-0.285063, actvprof=,0.000000, id=,S04, PRJADE,actvstrat=,0.627894, actvprof=,0.000000, id=,S05, PRJADE,actvstrat=,-0.402459, actvprof=,0.000000, id=,S06, PRJADE,actvstrat=,-0.185889, actvprof=,0.000000, id=,S07, PRJADE,actvstrat=,-0.841510, actvprof=,0.000000, id=,S08, PRJADE,actvstrat=,0.098780, actvprof=,0.000000, id=,S09, PRJADE,actvstrat=,0.854263, actvprof=,0.000000, id=,S10, PRJADE,actvstrat=,-0.460687, actvprof=,0.000000, id=,S11, PRJADE,actvstrat=,0.868497, actvprof=,0.000000, id=,S12, PRJADE,actvstrat=,-0.523537, actvprof=,0.000000, id=,S13, PRJADE,actvstrat=,0.376149, actvprof=,0.000000, id=,S14, PRJADE,actvstrat=,0.914447, actvprof=,0.000000, id=,S15, PRJADE,actvstrat=,0.804263, actvprof=,0.000000, id=,S16, PRJADE,actvstrat=,-0.563082, actvprof=,0.000000, id=,S17, PRJADE,actvstrat=,-0.764140, actvprof=,0.000000, id=,S18, PRJADE,actvstrat=,-0.402716, actvprof=,0.000000, id=,S19, PRJADE,actvstrat=,-0.870010, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.013543, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.986720, 
